92.246.34.60 - - [01/Jul/2016:00:01:28 +0000] "GET /images/bg.gif HTTP/1.1" 200 340709 "-" "Mozilla/4.0 (compatible;)" 359 341041
193.51.249.230 - - [01/Jul/2016:00:01:59 +0000] "GET /wms.cgi?REQUEST=GetCapabilities&version=1.1.1&SERVICE=WMS HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 180 419
192.148.213.60 - - [01/Jul/2016:00:02:00 +0000] "GET /wms.cgi?service=WMS&request=GetCapabilities&version=1.1.1 HTTP/1.1" 404 205 "-" "-" 191 456
68.180.228.251 - - [01/Jul/2016:00:07:18 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&height=1000&width=1000&bbox=0.46082295349879,45.486663141458,0.65362145163418,45.621667334468&format=image/jpeg&styles=pseudo HTTP/1.1" 404 205 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)" 362 400
100.64.33.175 - - [01/Jul/2016:00:10:41 +0000] "HEAD /OnEarth_BMNG_TERRA.kml HTTP/1.1" 404 - "-" "python-requests/2.7.0 CPython/2.7.11 Linux/3.10.0-327.4.5.el7.x86_64" 220 230
192.148.213.60 - - [01/Jul/2016:00:16:11 +0000] "GET /wms.cgi?service=WMS&request=GetCapabilities&version=1.1.1 HTTP/1.1" 404 205 "-" "-" 191 456
49.205.119.201 - - [01/Jul/2016:00:16:44 +0000] "GET / HTTP/1.1" 200 9327 "http://worldwind.arc.nasa.gov/features.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.75 Safari/537.36" 438 9656
49.205.119.201 - - [01/Jul/2016:00:16:45 +0000] "GET /css/main.css HTTP/1.1" 200 8336 "http://onearth.jpl.nasa.gov/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.75 Safari/537.36" 349 8662
49.205.119.201 - - [01/Jul/2016:00:16:45 +0000] "GET /images/spacer.gif HTTP/1.1" 200 67 "http://onearth.jpl.nasa.gov/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.75 Safari/537.36" 364 391
49.205.119.201 - - [01/Jul/2016:00:16:45 +0000] "GET /images/buttonsearchmain.gif HTTP/1.1" 200 551 "http://onearth.jpl.nasa.gov/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.75 Safari/537.36" 374 878
49.205.119.201 - - [01/Jul/2016:00:16:45 +0000] "GET /css/print.css HTTP/1.1" 200 425 "http://onearth.jpl.nasa.gov/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.75 Safari/537.36" 350 749
