106.140.188.194 - - [05/Jul/2016:00:00:55 +0000] "POST /landsat.cgi HTTP/1.1" 404 209 "-" "Dalvik/1.6.0 (Linux; U; Android 4.0.4; MY17ADA Build/01.06B.00.1.1004)" 257 460
68.180.228.251 - - [05/Jul/2016:00:01:36 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&height=1000&width=1000&bbox=6.065953724467,43.711107654458,6.2529353306681,43.846111847468&format=image/jpeg&styles=pseudo HTTP/1.1" 404 205 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)" 359 400
193.51.249.230 - - [05/Jul/2016:00:01:59 +0000] "GET /wms.cgi?REQUEST=GetCapabilities&version=1.1.1&SERVICE=WMS HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 180 419
89.111.188.176 - - [05/Jul/2016:00:03:47 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=138.875,37.0,139.0,37.125 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 258 419
89.111.188.176 - - [05/Jul/2016:00:03:47 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=138.9375,37.0,139.0,37.0625 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 260 419
190.31.120.171 - - [05/Jul/2016:00:07:45 +0000] "GET /daily.kml HTTP/1.1" 404 207 "-" "GoogleEarth/7.1.5.1557(Windows;Microsoft Windows (6.1.7601.1);es;kml:2.2;client:Free;type:default)" 381 458
100.64.33.175 - - [05/Jul/2016:00:09:51 +0000] "HEAD /OnEarth_BMNG_TERRA.kml HTTP/1.1" 404 - "-" "python-requests/2.7.0 CPython/2.7.11 Linux/3.10.0-327.4.5.el7.x86_64" 220 230
130.83.167.219 - - [05/Jul/2016:00:11:50 +0000] "GET /robots.txt HTTP/1.0" 404 208 "-" "Mozilla/5.0 (compatible; ltbot/0.3.6 +http://www.kdsl.tu-darmstadt.de/de/kdsl/research-program/crawling-and-semantic-structuring/)" 292 422
130.83.167.219 - - [05/Jul/2016:00:11:51 +0000] "GET / HTTP/1.0" 200 9327 "http://historyofgeology.fieldofscience.com/" "Mozilla/5.0 (compatible; ltbot/0.3.6 +http://www.kdsl.tu-darmstadt.de/de/kdsl/research-program/crawling-and-semantic-structuring/)" 336 9619
89.111.188.176 - - [05/Jul/2016:00:11:52 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-154.8125,79.875,-154.75,79.9375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 265 419
89.111.188.176 - - [05/Jul/2016:00:11:52 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-154.625,79.875,-154.5625,79.9375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 266 419
89.111.188.176 - - [05/Jul/2016:00:11:52 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-154.5625,79.875,-154.5,79.9375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 264 419
89.111.188.176 - - [05/Jul/2016:00:11:52 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-154.6875,79.875,-154.625,79.9375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 266 419
