157.55.39.29 - - [03/Feb/2015:19:00:00 -0500] "GET /olyblog/olytrivia-who-guy HTTP/1.1" 404 223 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 297 468
127.0.0.1 - - [03/Feb/2015:19:00:12 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:00:13 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
137.78.207.218 - - [03/Feb/2015:19:00:31 -0500] "HEAD /LMMPUI/LMMP_CLIENT/LMMP.html HTTP/1.1" 200 - "-" "curl/7.38.0" 110 274
127.0.0.1 - - [03/Feb/2015:19:00:42 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:00:43 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:01:12 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:01:13 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.67.4 - - [03/Feb/2015:19:01:26 -0500] "GET /redmine/search HTTP/1.1" 200 4058 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 736 8641
66.249.67.9 - - [03/Feb/2015:19:01:27 -0500] "GET /redmine/issues/gantt?month=2&months=6&year=1729&zoom=4 HTTP/1.1" 200 50913 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 726 55879
127.0.0.1 - - [03/Feb/2015:19:01:42 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:01:43 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:02:12 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:02:13 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:02:42 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:02:43 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:03:12 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:03:13 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.67.103 - - [03/Feb/2015:19:03:33 -0500] "GET /redmine/projects/lmmpwiki/activity?from=1907-04-25&show_news=1 HTTP/1.1" 200 4917 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 353 5479
66.249.67.103 - - [03/Feb/2015:19:03:34 -0500] "GET /redmine/projects/lmmpwiki/wiki/Portal_Demonstration HTTP/1.1" 200 7650 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 392 8130
127.0.0.1 - - [03/Feb/2015:19:03:42 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:03:43 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:04:12 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:04:13 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:04:42 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:04:43 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:05:12 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:05:13 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
