66.249.66.159 - - [06/Jul/2016:00:06:07 +0000] "GET /apple-app-site-association HTTP/1.1" 404 224 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 601 4589
68.180.230.246 - - [06/Jul/2016:01:19:16 +0000] "GET /robots.txt HTTP/1.1" 404 208 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)" 168 403
23.112.232.204 - - [06/Jul/2016:01:52:19 +0000] "GET / HTTP/1.1" 200 2107 "http://m.facebook.com/" "Mozilla/5.0 (Linux; Android 5.0.1; SCH-I545 Build/LRX22C; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/82.0.0.20.70;]" 554 2504
206.126.218.43 - - [06/Jul/2016:02:38:39 +0000] "GET / HTTP/1.1" 200 2107 "http://m.facebook.com/" "Mozilla/5.0 (Linux; Android 6.0.1; SM-N920V Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/83.0.0.20.71;]" 554 2504
75.107.20.18 - - [06/Jul/2016:02:53:16 +0000] "GET / HTTP/1.1" 200 2107 "http://apod.nasa.gov/apod/ap150421.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu/12.04 Chromium/25.0.1364.172 Chrome/25.0.1364.172 Safari/537.22" 392 2504
75.107.20.18 - - [06/Jul/2016:02:53:16 +0000] "GET /federatedanalytics.all.min.js?agency=NASA&pua=UA-45212297-1&subagency=JPL HTTP/1.1" 200 16241 "http://vestatrek.jpl.nasa.gov/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu/12.04 Chromium/25.0.1364.172 Chrome/25.0.1364.172 Safari/537.22" 456 16652
71.87.50.43 - - [06/Jul/2016:02:57:11 +0000] "GET / HTTP/1.1" 200 2107 "http://m.facebook.com/" "Mozilla/5.0 (Linux; Android 5.0.1; SCH-R970 Build/LRX22C; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/82.0.0.23.70;]" 552 2504
104.160.0.120 - - [06/Jul/2016:03:17:02 +0000] "GET / HTTP/1.1" 200 2107 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" 322 2504
117.120.18.133 - - [06/Jul/2016:04:11:24 +0000] "GET / HTTP/1.1" 200 2107 "http://dawn.jpl.nasa.gov/science/vesta.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10586" 534 2504
117.120.18.133 - - [06/Jul/2016:04:11:24 +0000] "GET /federatedanalytics.all.min.js?agency=NASA&pua=UA-45212297-1&subagency=JPL HTTP/1.1" 200 16241 "http://vestatrek.jpl.nasa.gov/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10586" 574 16653
131.161.8.223 - - [06/Jul/2016:04:39:22 +0000] "GET /facts.html HTTP/1.1" 200 1590 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" 218 1950
198.100.144.55 - - [06/Jul/2016:05:01:15 +0000] "GET / HTTP/1.1" 200 2107 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; en)" 202 2504
211.6.121.140 - - [06/Jul/2016:05:10:01 +0000] "GET / HTTP/1.1" 200 2107 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" 166 2448
198.100.144.55 - - [06/Jul/2016:05:16:27 +0000] "GET / HTTP/1.1" 200 2107 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; en)" 202 2504
120.136.45.221 - - [06/Jul/2016:05:18:02 +0000] "GET / HTTP/1.1" 200 2107 "http://www.jpl.nasa.gov/news/news.php?feature=4531&utm_source=iContact&utm_medium=email&utm_campaign=NASAJPL&utm_content=daily20150331" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" 525 2504
120.136.45.221 - - [06/Jul/2016:05:18:03 +0000] "GET /federatedanalytics.all.min.js?agency=NASA&pua=UA-45212297-1&subagency=JPL HTTP/1.1" 200 16241 "http://vestatrek.jpl.nasa.gov/" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" 393 16652
128.75.87.189 - - [06/Jul/2016:05:35:03 +0000] "GET / HTTP/1.1" 200 2107 "http://vesta-1249282919.us-west-1.elb.amazonaws.com/vesta/facts.html" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36" 428 2467
128.75.87.189 - - [06/Jul/2016:05:35:05 +0000] "GET /federatedanalytics.all.min.js?agency=NASA&pua=UA-45212297-1&subagency=JPL HTTP/1.1" 200 16241 "http://vestatrek.jpl.nasa.gov/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36" 463 16616
95.54.174.210 - - [06/Jul/2016:05:43:10 +0000] "GET / HTTP/1.1" 304 - "http://www.popmech.ru/technologies/57176-kosmicheskiy-analog-google-earth-gulyaem-po-veste/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2150.0 Iron/40.0.2150.0 Safari/537.36" 843 292
95.54.174.210 - - [06/Jul/2016:05:43:10 +0000] "GET /federatedanalytics.all.min.js?agency=NASA&pua=UA-45212297-1&subagency=JPL HTTP/1.1" 304 - "http://vestatrek.jpl.nasa.gov/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2150.0 Iron/40.0.2150.0 Safari/537.36" 785 292
95.97.169.98 - - [06/Jul/2016:07:09:28 +0000] "GET / HTTP/1.1" 200 2107 "https://www.google.nl/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" 435 2504
95.97.169.98 - - [06/Jul/2016:07:09:28 +0000] "GET /federatedanalytics.all.min.js?agency=NASA&pua=UA-45212297-1&subagency=JPL HTTP/1.1" 200 16241 "http://vestatrek.jpl.nasa.gov/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" 415 16652
207.151.223.198 - - [06/Jul/2016:07:17:13 +0000] "HEAD / HTTP/1.1" 200 - "-" "curl/7.26.0" 87 341
207.151.223.198 - - [06/Jul/2016:07:17:13 +0000] "HEAD / HTTP/1.1" 200 - "-" "curl/7.26.0" 86 341
84.211.253.238 - - [06/Jul/2016:07:23:51 +0000] "GET / HTTP/1.1" 200 2107 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/601.6.17 (KHTML, like Gecko)" 311 2504
84.211.253.238 - - [06/Jul/2016:07:23:52 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 230 "-" "Safari/11601.6.17 CFNetwork/760.5.1 Darwin/15.5.0 (x86_64)" 245 481
84.211.253.238 - - [06/Jul/2016:07:23:52 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 218 "-" "Safari/11601.6.17 CFNetwork/760.5.1 Darwin/15.5.0 (x86_64)" 233 468
84.211.253.238 - - [06/Jul/2016:07:23:52 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 230 "-" "Safari/11601.6.17 CFNetwork/760.5.1 Darwin/15.5.0 (x86_64)" 245 480
84.211.253.238 - - [06/Jul/2016:07:23:52 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 218 "-" "Safari/11601.6.17 CFNetwork/760.5.1 Darwin/15.5.0 (x86_64)" 233 468
222.112.157.247 - - [06/Jul/2016:09:10:53 +0000] "GET / HTTP/1.1" 200 2107 "http://apod.nasa.gov/apod/ap150421.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" 376 2504
222.112.157.247 - - [06/Jul/2016:09:10:53 +0000] "GET /federatedanalytics.all.min.js?agency=NASA&pua=UA-45212297-1&subagency=JPL HTTP/1.1" 200 16241 "http://vestatrek.jpl.nasa.gov/" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" 380 16652
66.249.66.180 - - [06/Jul/2016:09:20:55 +0000] "GET /robots.txt HTTP/1.1" 404 208 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 232 459
66.249.66.180 - - [06/Jul/2016:09:20:55 +0000] "GET / HTTP/1.1" 200 2107 "-" "SAMSUNG-SGH-E250/1.0 Profile/MIDP-2.0 Configuration/CLDC-1.1 UP.Browser/6.2.3.3.c.1.101 (GUI) MMP/2.0 (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html)" 439 2503
66.249.66.180 - - [06/Jul/2016:09:24:55 +0000] "GET / HTTP/1.1" 200 2107 "-" "DoCoMo/2.0 N905i(c100;TB;W24H16) (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html)" 283 2504
94.100.10.72 - - [06/Jul/2016:09:37:08 +0000] "GET / HTTP/1.1" 200 2107 "http://apod.nasa.gov/apod/ap150421.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/601.6.17" 383 2504
94.100.10.72 - - [06/Jul/2016:09:37:10 +0000] "GET /federatedanalytics.all.min.js?agency=NASA&pua=UA-45212297-1&subagency=JPL HTTP/1.1" 200 16241 "http://vestatrek.jpl.nasa.gov/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/601.6.17" 387 16652
207.46.13.0 - - [06/Jul/2016:09:50:51 +0000] "GET /robots.txt HTTP/1.1" 404 208 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 274 459
173.34.176.24 - - [06/Jul/2016:10:34:15 +0000] "GET / HTTP/1.1" 200 2107 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/601.6.17 (KHTML, like Gecko)" 311 2504
173.34.176.24 - - [06/Jul/2016:10:34:16 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 230 "-" "Safari/11601.6.17 CFNetwork/760.5.1 Darwin/15.5.0 (x86_64)" 524 481
173.34.176.24 - - [06/Jul/2016:10:34:16 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 218 "-" "Safari/11601.6.17 CFNetwork/760.5.1 Darwin/15.5.0 (x86_64)" 512 468
173.34.176.24 - - [06/Jul/2016:10:34:16 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 230 "-" "Safari/11601.6.17 CFNetwork/760.5.1 Darwin/15.5.0 (x86_64)" 524 480
